ONS Code,Local Authority,Owner occupied,Private rented,Social,All Rented,Owner occupied,Private rented,Social,All Rented
E09000022,Lambeth,3813,8110,5520,13630,7.83,19.24,11.62,15.2
E07000121,Lancaster,8416,3570,916,4486,20.07,27.01,14.62,23.03
E08000035,Leeds,35241,28390,10539,38929,17.21,38.05,14.75,26.65
E06000016,Leicester,14232,9584,4678,14262,21.59,29.44,16.21,23.22
E07000063,Lewes,2984,1007,416,1423,9.26,13.59,8.95,11.8
E09000023,Lewisham,4765,7173,4697,11870,8.48,21.58,12.91,17.05
E07000194,Lichfield,4251,770,684,1454,12.11,14.43,11.24,12.73
E07000138,Lincoln,4076,2354,1161,3515,17.43,23.8,12.61,18.41
E08000012,Liverpool,19002,13978,7310,21288,18.5,25.05,13.58,19.42
E06000032,Luton,6500,4774,673,5447,13.59,25.01,5.46,17.33
E07000110,Maidstone,4737,1597,716,2313,9.37,13.09,7.61,10.7
E07000074,Maldon,3351,1070,168,1238,15.45,32.54,5.54,19.59
E07000235,Malvern Hills,5796,1220,897,2117,22.42,25.07,18.46,21.77
E08000003,Manchester,15773,17565,7802,25367,18.17,25.52,12.22,19.12
E07000174,Mansfield,4596,1578,906,2484,14.46,20.41,10.64,15.29
E06000035,Medway,7029,2676,658,3334,8.63,11.45,7.96,10.54
E07000133,Melton,3743,1232,414,1646,22.97,31.78,17.14,26.16
E09000024,Merton,4138,4434,1394,5828,8.2,20.03,12.1,17.31
E07000042,Mid Devon,6677,2631,932,3563,26.58,37.43,20.91,31.02
E07000203,Mid Suffolk,6623,2335,313,2648,19.77,38.3,6.36,24.04
E07000228,Mid Sussex,3611,1107,583,1690,7.77,11.46,7.22,9.53
E06000002,Middlesbrough,3523,2973,1409,4382,10.25,23.99,9.66,16.24
E06000042,Milton Keynes,3638,1645,1094,2739,5.18,7.38,4.93,6.16
E07000210,Mole Valley,2445,695,357,1052,8.77,12.73,8.29,10.77
E07000091,New Forest,5184,1321,625,1946,8.8,11.66,7.43,9.86
E07000175,Newark and Sherwood,7184,2271,895,3166,19.32,27.33,11.43,19.61
E08000021,Newcastle upon Tyne,6987,7936,3438,11374,11.06,27.75,10.31,18.36
E07000195,Newcastle-under-Lyme,5214,1098,1246,2344,13.62,15.9,13.31,14.41
E09000025,Newham,4003,9107,3944,13051,8.75,20.77,13.43,17.83
E07000043,North Devon,7444,3275,1005,4280,24.72,34.12,21.62,30.04
E07000038,North East Derbyshire,5498,1054,910,1964,16.76,23.67,10.46,14.93
E06000012,North East Lincolnshire,7650,5068,1173,6241,16.08,33.37,12.96,25.75
E07000099,North Hertfordshire,4404,1964,453,2417,11.65,22.7,4.32,12.62
E07000139,North Kesteven,6150,1926,762,2688,16.76,23.71,12.37,18.82
E06000013,North Lincolnshire,8684,4273,1384,5657,16.87,34.25,12.32,23.86
E07000147,North Norfolk,7441,3303,375,3678,21.3,39.89,7,26.96
E06000061,North Northamptonshire,16442,5770,2513,8283,16.4,22.92,10.74,17.05
E06000024,North Somerset,8950,3708,1192,4900,12.91,19.94,12.74,17.53
E08000022,North Tyneside,6143,3851,1833,5684,9.87,25.27,8.93,15.89
E07000218,North Warwickshire,3378,735,486,1221,16.35,19.31,13.16,16.28
E07000134,North West Leicestershire,5494,1631,679,2310,16.9,25.99,10.98,18.54
E06000065,North Yorkshire,43900,25729,5017,30746,22.75,46.21,15.01,34.5
E06000057,Northumberland,13161,9016,2546,11562,13.35,34.44,10.23,22.64
E07000148,Norwich,4292,3815,1021,4836,14.29,25.5,5.18,13.95
E06000018,Nottingham,11296,8587,4192,12779,18.76,26.07,13.29,19.82
E07000219,Nuneaton and Bedworth,4555,1073,960,2033,11.13,12.93,11.3,12.11
E07000135,Oadby and Wigston,2336,541,178,719,12.95,19.6,9.84,15.74
E08000004,Oldham,10307,3693,2266,5959,17.03,25.62,11.12,17.12
E07000178,Oxford,2369,1823,1009,2832,8.63,11.01,8.38,9.9
E07000122,Pendle,6489,2788,693,3481,24.69,34.01,15.48,27.47
E06000031,Peterborough,5030,3294,651,3945,9.9,18.66,3.97,11.58
E06000026,Plymouth,9884,5778,3682,9460,14.63,21.6,15.73,18.86
E06000044,Portsmouth,6267,3823,1916,5739,13.04,16.81,11.56,14.6
E07000123,Preston,6511,3313,1460,4773,17.59,25.78,13.11,19.9
E06000038,Reading,4108,2720,1062,3782,10.63,14.32,9.65,12.61
E09000026,Redbridge,6368,6001,1321,7322,9.08,22.19,13.93,20.05
E06000003,Redcar and Cleveland,4565,2694,1061,3755,11.09,27.46,8.98,17.37
E07000236,Redditch,2356,578,780,1358,9.74,11.34,9.98,10.52
E07000211,Reigate and Banstead,3060,891,429,1320,6.89,9.62,6.12,8.12
E07000124,Ribble Valley,4317,1316,217,1533,20.92,28.85,10.08,22.84
E09000027,Richmond upon Thames,3853,3588,953,4541,7.2,18.12,9.9,15.43
E08000005,Rochdale,8839,3530,2121,5651,15.56,23.23,10.46,15.93
E07000075,Rochford,2615,641,113,754,9,17.41,3.81,11.34
E07000125,Rossendale,3786,1328,495,1823,17.74,24.71,10.93,18.41
E07000064,Rother,4505,1314,469,1783,14.29,18.84,11.25,16
E08000018,Rotherham,10234,4915,2657,7572,13.67,28.68,10.58,17.92
E07000220,Rugby,4393,1187,801,1988,13.04,15.45,12.16,13.93
E07000212,Runnymede,1724,625,315,940,7.11,10.07,6.43,8.46
E07000176,Rushcliffe,6061,1855,455,2310,16.04,23.99,10.49,19.14
